latitude,longitude,Year
47.565,-122.329,1983
45.556,-122.521,1983
47.445,-122.251,1984
47.681,-122.183,1985
45.508,-122.841,1985
61.145,-149.885,1984
47.654,-122.682,1986
44.09,-123.068,1989
37.782,-121.975,1989
39.507,-119.786,1988
33.556,-117.677,1990
38.782,-121.266,1995
36.809,-119.874,1985
38.021,-121.292,1986
38.42,-122.712,1986
34.182,-118.464,1989
47.287,-122.314,1989
61.21,-149.804,1992
46.997,-122.918,1991
46.895,-114.039,1991
44.92,-122.997,1992
45.755,-108.569,1991
26.274,-80.148,1988
26.097,-80.251,1989
26.808,-80.087,1989
47.225,-122.467,1984
45.713,-111.071,1997
45.428,-122.575,1986
44.055,-121.27,1993
46.423,-117.044,1993
47.776,-122.344,1994
58.358,-134.483,1993
47.551,-122.05,1994
45.436,-122.756,1986
47.402,-120.282,1995
40.731,-111.9,1995
47.905,-122.207,1984
47.826,-122.311,1996
35.137,-106.616,1984
34.153,-118.797,1996
37.718,-122.181,1987
20.888,-156.451,1995
21.284,-157.71,1992
32.812,-115.57,1992
33.727,-117.796,1992
33.187,-117.276,1993
40.792,-124.179,1994
33.774,-117.941,1987
39.116,-119.776,2000
34.283,-118.797,1996
37.358,-121.937,1985
34.126,-118.263,1996
36.617,-121.847,1989
38.132,-122.215,1989
40.586,-122.347,1990
19.687,-156.02,1993
38.086,-122.552,1992
37.302,-120.494,1993
37.42,-122.093,1992
37.771,-122.411,1993
42.593,-114.464,1993
37.702,-121.811,1993
37.561,-122.275,1994
37.311,-121.851,1986
36.985,-122.035,1994
26.587,-80.071,1984
25.919,-80.297,1992
28.662,-81.415,1985
28.597,-81.301,1999
33.949,-84.143,1996
33.928,-84.352,1996
34.005,-84.569,1997
36.852,-76.201,1984
39.197,-76.597,1985
38.851,-77.373,1986
37.641,-77.56,1991
40.862,-73.133,1987
39.359,-76.447,1988
39.157,-77.213,1990
39.033,-76.91,1990
39.023,-77.404,1990
40.42,-74.173,1991
38.787,-77.515,1992
40.744,-73.598,1992
38.739,-77.2,1992
40.776,-73.052,1993
38.862,-77.057,1987
40.759,-73.422,1989
38.428,-78.855,1995
39.158,-78.159,1995
40.807,-73.287,1995
40.898,-73.794,1994
40.767,-73.937,1996
40.812,-74.38,1997
40.091,-75.384,1997
39.675,-75.649,1998
37.106,-76.495,1988
40.238,-75.237,1999
36.028,-78.914,2000
42.557,-70.979,1990
42.132,-72.622,1990
42.135,-71.068,1991
41.443,-73.405,1991
41.107,-74.026,1992
40.831,-74.136,1992
42.703,-71.441,1992
42.396,-71.264,1993
40.631,-73.738,1993
41.249,-73.024,1993
41.543,-72.971,1993
44.506,-73.177,1993
40.907,-74.571,1993
40.573,-74.17,1995
40.052,-76.256,1996
40.655,-74.007,1996
42.231,-71.175,1998
40.694,-74.29,1998
40.973,-73.863,1999
40.564,-74.556,1999
40.529,-74.377,1987
41.092,-73.452,2001
39.155,-76.73,2001
41.009,-73.691,2002
40.313,-76.8,2001
40.692,-80.11,2001
40.234,-74.048,2003
39.402,-77.411,2001
40.458,-80.167,2002
42.402,-71.07,2002
38.898,-77.445,2003
27.96,-82.728,2003
39.115,-77.533,2004
33.706,-78.916,2004
36.058,-79.884,2003
38.295,-77.517,2002
42.535,-83.445,2003
41.727,-88.206,2003
41.458,-82.016,2002
41.525,-81.447,2002
26.412,-80.102,1990
39.914,-86.062,2002
39.916,-86.225,2002
42.107,-87.822,2002
38.959,-94.731,2001
26.546,-81.875,1999
35.192,-89.793,1999
35.046,-89.796,1999
26.219,-81.773,1999
34.742,-86.601,2000
30.252,-81.536,2000
27.923,-82.332,2000
35.162,-80.885,2001
32.795,-80.037,2001
36.065,-80.318,2001
33.379,-86.811,2003
34.062,-83.995,2006
35.127,-80.704,2001
38.508,-90.339,2002
38.907,-94.671,2002
41.474,-87.322,2001
41.94,-88.13,2001
45.199,-93.35,2001
39.036,-94.356,2001
42.629,-82.981,2001
39.068,-94.583,2001
42.707,-83.296,2000
44.968,-93.35,2000
42.185,-88.092,2001
39.286,-84.452,2000
41.931,-87.677,2001
38.796,-90.609,2001
42.012,-87.782,2000
39.297,-84.302,2000
35.963,-86.819,1999
42.055,-88.045,1998
41.846,-87.963,1998
42.382,-83.334,1998
42.418,-83.433,1998
42.517,-83.119,1998
42.496,-82.937,1998
32.822,-117.225,1976
32.841,-116.989,1979
32.252,-110.859,1982
33.922,-118.104,1983
33.704,-117.935,1983
34.134,-117.926,1983
33.863,-117.924,1984
34.224,-119.15,1985
37.641,-122.403,1987
37.372,-121.996,1986
33.804,-118.165,1986
33.624,-111.902,1987
34.088,-118.148,1987
33.469,-117.676,1987
32.327,-111.048,1989
33.89,-117.521,1988
33.349,-111.959,1989
34.23,-118.554,1989
38.59,-121.264,1990
39.69,-104.866,1990
39.864,-105.067,1990
33.802,-116.391,1991
39.639,-105.085,1991
33.875,-117.743,1991
34.403,-118.46,1992
32.988,-117.076,1992
38.217,-122.144,1992
33.661,-117.744,1992
33.938,-117.279,1992
32.636,-117.025,1994
33.122,-117.317,1992
38.468,-121.415,1982
33.473,-111.985,1994
34.578,-112.363,1996
39.561,-104.879,1997
32.775,-117.022,1992
37.254,-121.876,1987
38.598,-121.452,1984
36.703,-121.667,1997
34.014,-117.745,1985
34.428,-119.873,1998
37.665,-122.449,1987
34.069,-117.261,1989
33.991,-118.446,1999
39.96,-105.172,1999
33.375,-111.842,1979
37.898,-122.321,1986
32.712,-117.114,1999
40.282,-111.68,1999
21.42,-158.006,2000
46.226,-119.235,1987
40.551,-111.894,2000
32.78,-117.13,2000
32.676,-97.405,2000
33.659,-112.115,2000
33.52,-117.156,1991
36.172,-115.163,2009
33.919,-118.343,2009
33.995,-118.143,2009
32.816,-117.154,2010
33.572,-84.333,2012
41.76,-87.742,2015
26.489,-81.786,2007
40.69,-111.954,2007
26.681,-80.22,2007
47.359,-122.601,2007
41.313,-81.817,2009
38.645,-77.3,2007
34.139,-117.444,2006
43.311,-87.925,2007
39.993,-104.978,2007
36.139,-86.884,2006
33.881,-84.472,2006
40.148,-82.978,2006
46.617,-112.006,2006
38.315,-85.574,2006
34.247,-77.873,2006
32.621,-96.911,2006
39.643,-106.889,2006
33.707,-116.272,2006
48.079,-123.125,1993
21.968,-159.382,2006
30.222,-97.839,2006
48.148,-122.189,2006
35.296,-119.057,2006
33.298,-111.748,2006
35.818,-78.622,2006
39.579,-119.74,2006
41.601,-87.86,2006
45.092,-93.424,2006
40.404,-79.92,2007
39.709,-105.016,2016
28.403,-81.407,2016
44.999,-93.216,2018
34.201,-118.38,2017
37.662,-122.402,2017
32.871,-96.763,2019
36.842,-119.789,2002
37.754,-121.476,2002
38.352,-122.715,2002
47.156,-122.309,2000
37.7,-121.066,1989
48.454,-122.338,2000
37.959,-122.035,1986
33.045,-96.7,2000
33.52,-112.094,1978
35.068,-106.531,2000
32.685,-97.114,2001
32.943,-97.113,2001
47.657,-117.333,1983
33.899,-118.373,2000
37.125,-113.522,2000
36.069,-115.037,1991
33.644,-112.231,1988
29.954,-95.547,2001
39.791,-105.081,2001
34.184,-118.323,1984
34.077,-117.547,1992
33.995,-117.921,1986
29.788,-95.53,2001
30.396,-97.746,2001
44.639,-123.065,2001
32.997,-96.964,2004
33.023,-96.83,2001
36.163,-115.333,2001
34.083,-117.69,2001
21.318,-157.87,1988
35.383,-119.047,1985
29.575,-98.596,2001
33.568,-117.712,2002
33.465,-112.275,2002
45.536,-122.935,2005
29.611,-98.476,2002
38.35,-121.981,2002
40.877,-74.041,2016
40.39,-111.827,2006
43.614,-116.592,2006
40.89,-111.893,2005
33.295,-111.899,2005
36.278,-115.209,2005
33.67,-112.029,2005
40.056,-74.155,1992
47.06,-122.76,2006
35.252,-120.689,2005
26.008,-80.361,2005
34.091,-84.277,2005
42.876,-85.763,2005
48.235,-114.331,1993
33.695,-117.334,2006
47.779,-122.149,2005
33.803,-118.039,2005
39.971,-74.912,2005
37.009,-121.554,2003
43.585,-116.274,1988
34.66,-118.149,1988
40.658,-111.891,1984
38.646,-121.111,2003
45.333,-122.766,2003
47.239,-122.375,2003
31.782,-106.411,2003
33.945,-118.335,1985
41.197,-111.979,2003
38.692,-121.297,2003
45.684,-122.604,2004
47.708,-116.782,2004
42.179,-88.338,2004
32.937,-117.036,2004
33.933,-117.97,2005
37.502,-121.971,1988
42.083,-87.937,2004
41.994,-72.576,2004
32.609,-117.081,1981
37.52,-120.888,2004
44.862,-93.43,2004
42.913,-85.545,2004
40.925,-72.704,2014
42.504,-83.759,2004
41.561,-93.805,2004
37.667,-122.103,1992
33.492,-112.128,2001
33.768,-117.991,2015
39.187,-76.795,2007
33.699,-117.824,2007
38.01,-121.833,1991
38.673,-121.724,2008
37.389,-121.883,2007
34.836,-82.313,2007
29.576,-98.317,2007
41.677,-83.628,2007
34.94,-81.998,2007
32.364,-86.151,2007
34.515,-117.32,1988
39.723,-121.81,1991
41.264,-96.102,2007
46.565,-120.496,1990
38.893,-104.718,2008
34.112,-117.829,2008
35.196,-106.662,2007
36.294,-119.306,1990
29.733,-95.439,2008
40.56,-111.975,2014
43.098,-89.523,2008
45.028,-93.041,2008
39.559,-104.776,2008
25.656,-80.413,1988
39.71,-74.287,2008
30.461,-84.213,2008
39.644,-105.006,2008
33.392,-111.668,1994
47.355,-122.121,2008
38.904,-104.817,2009
37.786,-121.256,2008
42.906,-112.455,2008
42.605,-83.294,1998
21.328,-158.088,2009
38.669,-76.876,2008
41.909,-88.34,2008
37.48,-122.217,1983
32.908,-96.446,2009
33.85,-118.142,2009
33.6,-111.983,2009
46.146,-123.915,1993
38.597,-90.505,2009
37.617,-122.088,2009
40.796,-73.933,2009
40.734,-73.864,2010
34.272,-118.428,2010
43.26,-123.351,2010
42.236,-87.904,2010
38.922,-76.851,2010
32.182,-110.947,2011
33.137,-117.124,2011
40.239,-75.576,2011
34.967,-85.193,2010
33.872,-84.335,2010
41.908,-87.835,2010
45.622,-122.473,2010
44.749,-93.293,2010
41.726,-88.033,2010
37.511,-77.607,1990
38.1,-121.266,2011
40.361,-74.304,2011
33.171,-96.839,2011
43.09,-88.23,2011
33.524,-82.02,2011
40.197,-75.081,2011
42.232,-83.741,2012
41.863,-87.666,2012
26.194,-98.199,2012
33.734,-117.996,2012
41.698,-91.615,2012
39.883,-75.53,2012
38.742,-77.086,2013
35.896,-84.141,2012
40.123,-111.649,2012
46.844,-96.887,2012
38.92,-76.95,2012
43.165,-89.275,2012
46.349,-94.249,2012
27.233,-82.498,2012
39.036,-77.056,2013
44.051,-92.521,2012
40.669,-89.584,2012
29.586,-95.642,2013
29.967,-90.11,2013
30.528,-97.817,2013
41.845,-87.807,2013
38.025,-84.407,2013
43.512,-96.741,2013
40.052,-82.909,2013
41.125,-85.156,2013
44.458,-87.989,2013
33.563,-101.945,2013
40.612,-74.46,2013
29.784,-95.787,2014
30.42,-91.073,2014
32.9,-97.321,2014
40.436,-74.507,2014
34.212,-84.116,2014
43.057,-76.27,2014
40.891,-74.25,1991
40.52,-104.989,2014
41.72,-86.173,2014
38.067,-78.489,2015
39.661,-84.109,2014
30.208,-95.453,2014
47.834,-122.276,2015
42.271,-85.648,2014
30.647,-88.119,2015
41.535,-83.636,2015
43.114,-77.614,2015
41.709,-72.766,2015
38.988,-84.647,2015
42.564,-87.921,2015
40.281,-74.672,2016
37.68,-97.225,2015
30.156,-92.043,2016
33.808,-118.332,1998
34.187,-118.603,1986
35.747,-78.827,2016
36.016,-95.887,2016
29.978,-95.711,2019
43.183,-88.112,2015
40.567,-75.558,2016
42.945,-88.106,2015
40.861,-74.064,1994
40.619,-73.653,2017
48.791,-122.515,1991
29.545,-95.391,2015
44.271,-88.488,2015
47.667,-122.093,2016
41.263,-81.513,2016
39.636,-86.089,2016
30.022,-95.268,2016
25.775,-80.322,1989
34.068,-81.139,2016
28.496,-81.426,1986
40.522,-74.853,2016
41.178,-96.104,2016
38.205,-85.666,2016
40.11,-83.189,2016
36.326,-119.607,2016
28.191,-82.393,2017
28.044,-82.581,2017
32.919,-96.768,2017
37.244,-121.785,2017
39.255,-94.599,2017
44.939,-92.964,2017
38.409,-121.41,2018
34.925,-120.419,1988
42.752,-84.448,2017
47.166,-122.158,2018
44.736,-85.57,2017
33.218,-96.664,2018
40.74,-96.699,2017
42.374,-122.887,1991
30.202,-81.756,2018
34.12,-84.516,2018
39.127,-123.197,2018
47.767,-117.385,1992
33.986,-117.558,2018
34.037,-118.104,1993
32.88,-79.794,2018
35.988,-115.139,2018
30.47,-97.59,2018
26.288,-80.283,2019
41.575,-90.524,2018
39.404,-76.789,2018
29.534,-95.137,2018
37.989,-87.464,2019
25.914,-80.154,1992
35.582,-80.852,2019
40.673,-74.105,2019
64.852,-147.708,2018
45.55,-94.203,2019
35.605,-97.53,2019
42.321,-88.962,2019
36.806,-119.701,1990
33.4,-84.622,2019
44.857,-93.129,2019
27.496,-82.471,2019
32.423,-90.147,2020
41.359,-72.213,2019
